frame.time_relative,frame.time_delta,frame.len,ip.src,ip.dst,tcp.srcport,tcp.dstport,tcp.len,tcp.stream,tcp.seq,tcp.ack,tcp.flags.syn,tcp.flags.ack,tcp.flags.fin,tcp.flags.reset
0.002290491,0.000001541,54,127.0.0.1,127.0.0.1,1012,41003,0,116,1,1,False,True,False,True
0.002293741,0.000003250,58,127.0.0.1,127.0.0.1,41003,1406,0,117,0,0,True,False,False,False
0.002295158,0.000001417,54,127.0.0.1,127.0.0.1,1406,41003,0,117,1,1,False,True,False,True
0.002298116,0.000002958,58,127.0.0.1,127.0.0.1,41003,600,0,118,0,0,True,False,False,False
0.002299491,0.000001375,54,127.0.0.1,127.0.0.1,600,41003,0,118,1,1,False,True,False,True
0.002302575,0.000003084,58,127.0.0.1,127.0.0.1,41003,523,0,119,0,0,True,False,False,False
0.002304033,0.000001458,54,127.0.0.1,127.0.0.1,523,41003,0,119,1,1,False,True,False,True
0.002425280,0.000121247,58,127.0.0.1,127.0.0.1,41003,378,0,120,0,0,True,False,False,False
0.002427155,0.000001875,54,127.0.0.1,127.0.0.1,378,41003,0,120,1,1,False,True,False,True
0.002430197,0.000003042,58,127.0.0.1,127.0.0.1,41003,1691,0,121,0,0,True,False,False,False
0.002431697,0.000001500,54,127.0.0.1,127.0.0.1,1691,41003,0,121,1,1,False,True,False,True
0.002434863,0.000003166,58,127.0.0.1,127.0.0.1,41003,1916,0,122,0,0,True,False,False,False
0.002436238,0.000001375,54,127.0.0.1,127.0.0.1,1916,41003,0,122,1,1,False,True,False,True
0.002439697,0.000003459,58,127.0.0.1,127.0.0.1,41003,1282,0,123,0,0,True,False,False,False
0.002441113,0.000001416,54,127.0.0.1,127.0.0.1,1282,41003,0,123,1,1,False,True,False,True
0.002443988,0.000002875,58,127.0.0.1,127.0.0.1,41003,1646,0,124,0,0,True,False,False,False
0.002445446,0.000001458,54,127.0.0.1,127.0.0.1,1646,41003,0,124,1,1,False,True,False,True
0.002448530,0.000003084,58,127.0.0.1,127.0.0.1,41003,756,0,125,0,0,True,False,False,False
0.002449988,0.000001458,54,127.0.0.1,127.0.0.1,756,41003,0,125,1,1,False,True,False,True
0.002453071,0.000003083,58,127.0.0.1,127.0.0.1,41003,1745,0,126,0,0,True,False,False,False
0.002454780,0.000001709,54,127.0.0.1,127.0.0.1,1745,41003,0,126,1,1,False,True,False,True
0.002458280,0.000003500,58,127.0.0.1,127.0.0.1,41003,675,0,127,0,0,True,False,False,False
0.002459613,0.000001333,54,127.0.0.1,127.0.0.1,675,41003,0,127,1,1,False,True,False,True
0.002462613,0.000003000,58,127.0.0.1,127.0.0.1,41003,1527,0,128,0,0,True,False,False,False
0.002463988,0.000001375,54,127.0.0.1,127.0.0.1,1527,41003,0,128,1,1,False,True,False,True
0.002467196,0.000003208,58,127.0.0.1,127.0.0.1,41003,1950,0,129,0,0,True,False,False,False
0.002468863,0.000001667,54,127.0.0.1,127.0.0.1,1950,41003,0,129,1,1,False,True,False,True
0.002471946,0.000003083,58,127.0.0.1,127.0.0.1,41003,334,0,130,0,0,True,False,False,False
0.002473363,0.000001417,54,127.0.0.1,127.0.0.1,334,41003,0,130,1,1,False,True,False,True
0.002476362,0.000002999,58,127.0.0.1,127.0.0.1,41003,1729,0,131,0,0,True,False,False,False
